timecost:0.41, lr:0.01, epoch:1, train_loss:2.5842, train_acc:15.30, val_loss:2.623300, val_acc:14.16
timecost:0.41, lr:0.01, epoch:2, train_loss:4.9988, train_acc:14.66, val_loss:4.952365, val_acc:14.73
timecost:0.40, lr:0.01, epoch:3, train_loss:2.0504, train_acc:47.03, val_loss:2.031083, val_acc:45.89
timecost:0.40, lr:0.01, epoch:4, train_loss:0.3744, train_acc:86.76, val_loss:0.419008, val_acc:86.97
timecost:0.40, lr:0.01, epoch:5, train_loss:0.6897, train_acc:74.01, val_loss:0.939608, val_acc:69.12
timecost:0.40, lr:0.01, epoch:6, train_loss:0.3910, train_acc:86.54, val_loss:0.570940, val_acc:83.00
timecost:0.40, lr:0.01, epoch:7, train_loss:0.0999, train_acc:96.60, val_loss:0.154400, val_acc:95.47
timecost:0.40, lr:0.01, epoch:8, train_loss:0.0737, train_acc:98.23, val_loss:0.183111, val_acc:94.90
timecost:0.40, lr:0.01, epoch:9, train_loss:0.9549, train_acc:71.10, val_loss:1.136795, val_acc:67.99
timecost:0.40, lr:0.01, epoch:10, train_loss:2.3111, train_acc:48.44, val_loss:2.495100, val_acc:47.03
timecost:0.40, lr:0.01, epoch:11, train_loss:0.0803, train_acc:98.02, val_loss:0.180682, val_acc:93.48
timecost:0.40, lr:0.01, epoch:12, train_loss:0.5301, train_acc:81.16, val_loss:0.642958, val_acc:78.19
timecost:0.40, lr:0.01, epoch:13, train_loss:0.0148, train_acc:99.79, val_loss:0.063284, val_acc:98.02
timecost:0.40, lr:0.01, epoch:14, train_loss:0.0397, train_acc:99.22, val_loss:0.143602, val_acc:96.03
timecost:0.40, lr:0.01, epoch:15, train_loss:0.0077, train_acc:99.86, val_loss:0.079708, val_acc:98.30
timecost:0.40, lr:0.01, epoch:16, train_loss:0.0114, train_acc:99.65, val_loss:0.055854, val_acc:98.30
timecost:0.40, lr:0.01, epoch:17, train_loss:0.0033, train_acc:99.93, val_loss:0.049448, val_acc:98.87
timecost:0.40, lr:0.01, epoch:18, train_loss:0.0016, train_acc:100.00, val_loss:0.039175, val_acc:98.58
timecost:0.40, lr:0.01, epoch:19, train_loss:0.0131, train_acc:99.65, val_loss:0.066188, val_acc:98.02
timecost:0.40, lr:0.01, epoch:20, train_loss:0.0028, train_acc:99.93, val_loss:0.063031, val_acc:97.73
timecost:0.40, lr:0.01, epoch:21, train_loss:0.0006, train_acc:100.00, val_loss:0.035671, val_acc:99.43
timecost:0.40, lr:0.01, epoch:22, train_loss:0.0003, train_acc:100.00, val_loss:0.035920, val_acc:99.43
timecost:0.40, lr:0.01, epoch:23, train_loss:0.0004, train_acc:100.00, val_loss:0.037410, val_acc:99.15
timecost:0.40, lr:0.01, epoch:24, train_loss:0.7403, train_acc:81.37, val_loss:1.002865, val_acc:77.62
timecost:0.40, lr:0.01, epoch:25, train_loss:0.0047, train_acc:99.86, val_loss:0.096945, val_acc:97.45
timecost:0.40, lr:0.01, epoch:26, train_loss:0.0024, train_acc:99.93, val_loss:0.057378, val_acc:98.02
timecost:0.40, lr:0.01, epoch:27, train_loss:0.0003, train_acc:100.00, val_loss:0.044799, val_acc:98.87
timecost:0.40, lr:0.01, epoch:28, train_loss:0.0002, train_acc:100.00, val_loss:0.047233, val_acc:98.58
timecost:0.40, lr:0.01, epoch:29, train_loss:0.0001, train_acc:100.00, val_loss:0.047213, val_acc:98.58
timecost:0.40, lr:0.01, epoch:30, train_loss:0.0001, train_acc:100.00, val_loss:0.045499, val_acc:98.58
timecost:0.40, lr:0.01, epoch:31, train_loss:0.0001, train_acc:100.00, val_loss:0.042984, val_acc:98.87
timecost:0.40, lr:0.01, epoch:32, train_loss:0.0001, train_acc:100.00, val_loss:0.039281, val_acc:98.58
timecost:0.40, lr:0.01, epoch:33, train_loss:0.0054, train_acc:99.79, val_loss:0.054044, val_acc:98.87
timecost:0.40, lr:0.01, epoch:34, train_loss:0.0003, train_acc:100.00, val_loss:0.058144, val_acc:98.30
