timecost:0.10, lr:0.01, epoch:1, train_loss:2.4912, train_acc:19.73, val_loss:2.488599, val_acc:20.22
timecost:0.09, lr:0.01, epoch:2, train_loss:3.2053, train_acc:11.08, val_loss:3.233672, val_acc:11.24
timecost:0.09, lr:0.01, epoch:3, train_loss:3.3860, train_acc:16.76, val_loss:3.459794, val_acc:16.85
timecost:0.09, lr:0.01, epoch:4, train_loss:1.1455, train_acc:64.05, val_loss:1.255981, val_acc:58.43
timecost:0.09, lr:0.01, epoch:5, train_loss:1.5319, train_acc:56.76, val_loss:1.600890, val_acc:50.56
timecost:0.09, lr:0.01, epoch:6, train_loss:0.6381, train_acc:80.00, val_loss:0.720191, val_acc:76.40
timecost:0.09, lr:0.01, epoch:7, train_loss:0.5351, train_acc:80.54, val_loss:0.593140, val_acc:83.15
timecost:0.09, lr:0.01, epoch:8, train_loss:1.7339, train_acc:72.97, val_loss:1.987046, val_acc:70.79
timecost:0.09, lr:0.01, epoch:9, train_loss:0.3874, train_acc:90.81, val_loss:0.603532, val_acc:87.64
timecost:0.09, lr:0.01, epoch:10, train_loss:0.3534, train_acc:89.73, val_loss:0.549177, val_acc:87.64
timecost:0.09, lr:0.01, epoch:11, train_loss:0.2800, train_acc:90.81, val_loss:0.483847, val_acc:85.39
timecost:0.09, lr:0.01, epoch:12, train_loss:0.8561, train_acc:75.95, val_loss:0.962873, val_acc:75.28
timecost:0.09, lr:0.01, epoch:13, train_loss:0.1529, train_acc:94.86, val_loss:0.277524, val_acc:85.39
timecost:0.09, lr:0.01, epoch:14, train_loss:0.2635, train_acc:91.08, val_loss:0.301716, val_acc:86.52
timecost:0.09, lr:0.01, epoch:15, train_loss:0.1586, train_acc:93.78, val_loss:0.337452, val_acc:84.27
timecost:0.09, lr:0.01, epoch:16, train_loss:0.2921, train_acc:92.43, val_loss:0.354589, val_acc:86.52
timecost:0.09, lr:0.01, epoch:17, train_loss:0.2963, train_acc:92.43, val_loss:0.471911, val_acc:87.64
timecost:0.09, lr:0.01, epoch:18, train_loss:0.0606, train_acc:97.84, val_loss:0.187507, val_acc:93.26
timecost:0.09, lr:0.01, epoch:19, train_loss:0.3325, train_acc:87.30, val_loss:0.534513, val_acc:84.27
timecost:0.09, lr:0.01, epoch:20, train_loss:0.0170, train_acc:99.73, val_loss:0.062124, val_acc:97.75
timecost:0.09, lr:0.01, epoch:21, train_loss:0.8279, train_acc:80.81, val_loss:1.253857, val_acc:74.16
timecost:0.09, lr:0.01, epoch:22, train_loss:0.0198, train_acc:99.73, val_loss:0.070957, val_acc:96.63
timecost:0.09, lr:0.01, epoch:23, train_loss:0.0094, train_acc:100.00, val_loss:0.098220, val_acc:96.63
timecost:0.09, lr:0.01, epoch:24, train_loss:0.0104, train_acc:99.73, val_loss:0.122840, val_acc:95.51
timecost:0.09, lr:0.01, epoch:25, train_loss:0.1651, train_acc:95.41, val_loss:0.437514, val_acc:89.89
timecost:0.09, lr:0.01, epoch:26, train_loss:0.0481, train_acc:98.38, val_loss:0.133432, val_acc:94.38
timecost:0.09, lr:0.01, epoch:27, train_loss:0.0075, train_acc:99.73, val_loss:0.100158, val_acc:95.51
timecost:0.09, lr:0.01, epoch:28, train_loss:0.0085, train_acc:99.73, val_loss:0.065853, val_acc:97.75
timecost:0.09, lr:0.01, epoch:29, train_loss:0.2082, train_acc:92.70, val_loss:0.441660, val_acc:84.27
timecost:0.09, lr:0.01, epoch:30, train_loss:0.0208, train_acc:99.46, val_loss:0.076903, val_acc:96.63
timecost:0.09, lr:0.01, epoch:31, train_loss:0.0352, train_acc:99.19, val_loss:0.115855, val_acc:96.63
timecost:0.09, lr:0.01, epoch:32, train_loss:0.0186, train_acc:99.19, val_loss:0.141458, val_acc:95.51
timecost:0.09, lr:0.01, epoch:33, train_loss:0.0429, train_acc:98.65, val_loss:0.209166, val_acc:93.26
timecost:0.09, lr:0.01, epoch:34, train_loss:0.0760, train_acc:97.57, val_loss:0.263851, val_acc:91.01
timecost:0.09, lr:0.01, epoch:35, train_loss:0.0091, train_acc:100.00, val_loss:0.162855, val_acc:95.51
timecost:0.09, lr:0.01, epoch:36, train_loss:0.0953, train_acc:97.03, val_loss:0.288854, val_acc:89.89
timecost:0.09, lr:0.01, epoch:37, train_loss:0.0370, train_acc:98.65, val_loss:0.224251, val_acc:92.13
timecost:0.09, lr:0.01, epoch:38, train_loss:0.0594, train_acc:98.38, val_loss:0.236064, val_acc:93.26
timecost:0.09, lr:0.01, epoch:39, train_loss:0.0061, train_acc:99.73, val_loss:0.073197, val_acc:96.63
timecost:0.09, lr:0.01, epoch:40, train_loss:0.0142, train_acc:99.19, val_loss:0.158811, val_acc:94.38
timecost:0.09, lr:0.01, epoch:41, train_loss:0.0087, train_acc:99.73, val_loss:0.144952, val_acc:94.38
timecost:0.09, lr:0.01, epoch:42, train_loss:0.0078, train_acc:99.73, val_loss:0.186798, val_acc:94.38
timecost:0.09, lr:0.01, epoch:43, train_loss:0.0096, train_acc:100.00, val_loss:0.146614, val_acc:95.51
timecost:0.09, lr:0.01, epoch:44, train_loss:0.0334, train_acc:98.38, val_loss:0.096865, val_acc:96.63
timecost:0.09, lr:0.01, epoch:45, train_loss:0.0074, train_acc:100.00, val_loss:0.086588, val_acc:96.63
timecost:0.09, lr:0.01, epoch:46, train_loss:0.0069, train_acc:100.00, val_loss:0.120323, val_acc:95.51
timecost:0.09, lr:0.01, epoch:47, train_loss:0.0012, train_acc:100.00, val_loss:0.135680, val_acc:96.63
timecost:0.09, lr:0.01, epoch:48, train_loss:0.2524, train_acc:91.35, val_loss:0.524090, val_acc:80.90
timecost:0.09, lr:0.01, epoch:49, train_loss:0.1183, train_acc:95.41, val_loss:0.309426, val_acc:89.89
timecost:0.09, lr:0.01, epoch:50, train_loss:0.0641, train_acc:97.84, val_loss:0.343952, val_acc:91.01
timecost:0.09, lr:0.001, epoch:51, train_loss:0.0196, train_acc:99.46, val_loss:0.197715, val_acc:93.26
timecost:0.09, lr:0.001, epoch:52, train_loss:0.0083, train_acc:99.73, val_loss:0.171330, val_acc:94.38
timecost:0.09, lr:0.001, epoch:53, train_loss:0.0027, train_acc:100.00, val_loss:0.128293, val_acc:95.51
timecost:0.09, lr:0.001, epoch:54, train_loss:0.0017, train_acc:100.00, val_loss:0.109080, val_acc:95.51
timecost:0.09, lr:0.001, epoch:55, train_loss:0.0023, train_acc:100.00, val_loss:0.112291, val_acc:95.51
timecost:0.09, lr:0.001, epoch:56, train_loss:0.0014, train_acc:100.00, val_loss:0.106454, val_acc:95.51
timecost:0.09, lr:0.001, epoch:57, train_loss:0.0025, train_acc:100.00, val_loss:0.119269, val_acc:95.51
timecost:0.09, lr:0.001, epoch:58, train_loss:0.0027, train_acc:100.00, val_loss:0.139786, val_acc:96.63
timecost:0.09, lr:0.001, epoch:59, train_loss:0.0109, train_acc:100.00, val_loss:0.197761, val_acc:94.38
timecost:0.09, lr:0.001, epoch:60, train_loss:0.0022, train_acc:100.00, val_loss:0.128401, val_acc:95.51
