timecost:0.18, lr:0.01, epoch:1, train_loss:0.7316, train_acc:68.80, val_loss:0.745017, val_acc:71.11
timecost:0.17, lr:0.01, epoch:2, train_loss:1.1638, train_acc:66.39, val_loss:1.217521, val_acc:68.06
timecost:0.17, lr:0.01, epoch:3, train_loss:0.7958, train_acc:76.39, val_loss:0.920420, val_acc:74.72
timecost:0.17, lr:0.01, epoch:4, train_loss:0.7148, train_acc:75.93, val_loss:0.855311, val_acc:72.78
timecost:0.17, lr:0.01, epoch:5, train_loss:0.0843, train_acc:96.67, val_loss:0.185710, val_acc:93.89
timecost:0.17, lr:0.01, epoch:6, train_loss:0.2755, train_acc:88.33, val_loss:0.387424, val_acc:83.61
timecost:0.17, lr:0.01, epoch:7, train_loss:0.0306, train_acc:98.98, val_loss:0.067335, val_acc:96.67
timecost:0.17, lr:0.01, epoch:8, train_loss:0.0713, train_acc:96.85, val_loss:0.153276, val_acc:95.56
timecost:0.17, lr:0.01, epoch:9, train_loss:0.0178, train_acc:99.72, val_loss:0.088130, val_acc:97.22
timecost:0.17, lr:0.01, epoch:10, train_loss:0.0278, train_acc:99.17, val_loss:0.097294, val_acc:96.11
timecost:0.17, lr:0.01, epoch:11, train_loss:0.2079, train_acc:92.59, val_loss:0.333265, val_acc:88.89
timecost:0.17, lr:0.01, epoch:12, train_loss:0.0591, train_acc:97.96, val_loss:0.189957, val_acc:94.44
timecost:0.17, lr:0.01, epoch:13, train_loss:0.0791, train_acc:97.31, val_loss:0.133601, val_acc:95.28
timecost:0.17, lr:0.01, epoch:14, train_loss:0.0195, train_acc:99.44, val_loss:0.096343, val_acc:96.11
timecost:0.17, lr:0.01, epoch:15, train_loss:0.0902, train_acc:95.28, val_loss:0.211151, val_acc:91.11
timecost:0.17, lr:0.01, epoch:16, train_loss:0.0014, train_acc:100.00, val_loss:0.071893, val_acc:97.78
timecost:0.17, lr:0.01, epoch:17, train_loss:0.0084, train_acc:99.72, val_loss:0.071697, val_acc:97.78
timecost:0.17, lr:0.01, epoch:18, train_loss:0.0106, train_acc:99.72, val_loss:0.106237, val_acc:96.39
timecost:0.17, lr:0.01, epoch:19, train_loss:0.0023, train_acc:100.00, val_loss:0.066109, val_acc:98.06
timecost:0.17, lr:0.01, epoch:20, train_loss:0.0009, train_acc:100.00, val_loss:0.047365, val_acc:97.50
timecost:0.17, lr:0.01, epoch:21, train_loss:0.0287, train_acc:99.07, val_loss:0.106553, val_acc:96.67
timecost:0.17, lr:0.01, epoch:22, train_loss:0.0022, train_acc:100.00, val_loss:0.037424, val_acc:98.89
timecost:0.17, lr:0.01, epoch:23, train_loss:0.0007, train_acc:100.00, val_loss:0.022077, val_acc:98.89
